아파트 이름,건축 연도,전용 면적 (㎡),층,거래 금액 (만원),거래 일자,주소,읍면동,평당 가격 (만원),면적 범주,읍면동_구미동,읍면동_금곡동,읍면동_대장동,읍면동_백현동,읍면동_분당동,읍면동_삼평동,읍면동_서현동,읍면동_수내동,읍면동_야탑동,읍면동_운중동,읍면동_이매동,읍면동_정자동,읍면동_판교동
산운마을8단지(부영사랑으로),2008,59.524,13,105000,2024-01-05,경기 성남시분당구 산운로 956,운중동,1763.9943552180632,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
현대I-PARK1,2003,160.83,8,220000,2024-01-30,경기 성남시분당구 정자일로 9,정자동,1367.9039980103214,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
현대I-PARK1,2003,160.83,8,220000,2024-01-30,경기 성남시분당구 정자일로 9,정자동,1367.9039980103214,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
판교원마을7단지(모아미래도),2009,80.21,8,131000,2024-01-29,경기 성남시분당구 판교원로 637,판교동,1633.2128163570628,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
산운마을8단지(부영사랑으로),2008,59.524,13,105000,2024-01-05,경기 성남시분당구 산운로 956,운중동,1763.9943552180632,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
봇들마을8단지(주공),2009,84.61,13,190000,2024-01-30,경기 성남시분당구 동판교로 742,삼평동,2245.597447110271,25~40평,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
정든마을(5단지)(신화),1995,134.31,15,148000,2024-01-26,경기 성남시 분당구 정자로 192,정자동,1101.9283746556473,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
까치마을(1단지)(대우롯데선경),1995,51.32,3,75000,2024-01-26,경기 성남시분당구 미금로 77,구미동,1461.418550272798,15~25평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
파크뷰,2004,162.869,29,250000,2024-01-25,경기 성남시분당구 정자일로 6,정자동,1534.9759622764307,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
현대I-PARK1,2003,80.31,33,122000,2024-01-20,경기 성남시분당구 정자일로 9,정자동,1519.1134354376788,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
백현마을2단지(주공),2009,84.5,7,179500,2024-01-31,경기 성남시분당구 동판교로 545,백현동,2124.2603550295858,25~40평,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
시범우성,1991,64.8,17,102500,2024-01-22,경기 성남시분당구 중앙공원로 96,서현동,1581.7901234567903,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
청솔마을(대원),1994,129.45,3,134000,2024-01-24,경기 성남시분당구 미금로 141,금곡동,1035.1487060641175,25~40평,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한솔마을(4단지)(주공),1994,35.28,11,53700,2024-01-25,경기 성남시분당구 백현로 102,정자동,1522.108843537415,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
산운마을8단지(부영사랑으로),2008,81.019,11,129500,2024-01-27,경기 성남시분당구 산운로 956,운중동,1598.390500993594,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
산운마을10단지(대광로제비앙),2009,83.504,8,148000,2024-01-26,경기 성남시분당구 판교원로81번길 949,운중동,1772.37018585936,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
산운마을13단지(태영),2010,101.67,11,140000,2024-01-29,경기 성남시 분당구 판교원로82번길 918,운중동,1377.004032654667,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
상록마을(보성),1995,67.435,4,103000,2024-01-27,경기 성남시분당구 정자일로 181,정자동,1527.396752428264,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
파크뷰,2004,139.717,33,213000,2024-01-29,경기 성남시분당구 정자일로 6,정자동,1524.510260025623,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
상록마을(라이프1차),1994,128.7,1,147000,2024-01-17,  정자로 124,정자동,1142.1911421911423,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
이매촌(한신),1992,66.27,9,101000,2024-01-30,경기 성남시분당구 서현로 124,이매동,1524.0682058246568,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
판교알파리움1단지,2015,129.253,2,203000,2024-01-18,경기 성남시분당구 대왕판교로606번길 531,백현동,1570.5631590756116,25~40평,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
판교알파리움2단지,2015,129.477,3,210000,2024-01-25,경기 성남시분당구 판교역로 530,백현동,1621.9096828008062,25~40평,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
판교알파리움2단지,2015,129.477,18,215000,2024-01-16,경기 성남시분당구 판교역로 530,백현동,1660.5265800103493,25~40평,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
시범한양,1991,35.1,1,61000,2024-01-23,경기 성남시분당구 중앙공원로 91,서현동,1737.8917378917379,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
이매촌(청구),1992,133.15,3,186000,2024-01-24,경기 성남시분당구 양현로94번길 123,이매동,1396.9207660533232,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
장미마을(코오롱)1,1993,84.6,10,104000,2024-01-29,경기 성남시분당구 장미로 330,야탑동,1229.3144208037827,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"양지마을(6단지)(금호,청구)",1992,59.94,19,90500,2024-01-20,경기 성남시분당구 내정로165번길 32,수내동,1509.8431765098433,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
청솔마을(주공9단지),1995,36.54,12,61500,2024-01-24,경기 성남시분당구 미금로 133,금곡동,1683.087027914614,15평 이하,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
매화마을(주공3),1993,41.85,3,50000,2024-01-31,"경기 광주시, 경기 성남시분당구 양현로 205",야탑동,1194.743130227001,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
청솔마을(유천),1995,84.6,6,127000,2024-01-31,경기 성남시분당구 정자일로 180,금곡동,1501.1820330969267,25~40평,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
이매촌(한신),1992,66.27,3,102000,2024-01-30,경기 성남시분당구 서현로 124,이매동,1539.1579900407426,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
양지마을(5단지)(한양515-529),1992,101.93,5,119900,2024-01-19,  내정로 24,수내동,1176.2974590405179,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
